Using SSH key from file C:\Users\KNALHOME\.ssh\id_ed25519_railway.pub: railway-backup-temp
Pager usage is off.
  id   |     part_code      |   erp_shrp_code    |   customer_part_no   | active | cavity_count | canon_cavity | part_weight_g | canon_weight | hist_total |          classification          |                                              reason                                              
    10 | AFM BIG            | AFM BIG            | CA581CAWXX01         | t      |            6 |            6 |          5.77 |         5.77 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    11 | AFM SMALL          | AFM SMALL          | CA582DDRXX01         | t      |            6 |            6 |          4.92 |         4.92 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    31 | CXGAA              | CXGAA              | HC442CXGAA01         | t      |            6 |            6 |          3.84 |         3.84 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    33 | LAC GREEN          | LAC GREEN          | VPMGH-18B602-DA      | t      |           16 |           16 |          4.44 |         4.44 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    36 | OERAA              | OERAA              | HC442OERAA01         | t      |            6 |            6 |          1.28 |         1.28 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    39 | SULAC              | SULAC              | HC442SULAC01         | t      |            4 |            4 |          3.59 |         3.59 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    44 | HL180              | HL180              | HL180F4W1A01         | t      |            4 |            4 |          0.99 |         0.99 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    49 | 1901               | 1901               | V0LC-01C019-01       | t      |            6 |            6 |          1.68 |         1.68 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    59 | DM1C1QRJAA01       |                    | DM1C1QRJAA01         | t      |            1 |              |             3 |            3 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    61 | BH-DIA 12 -MBA     | BH-DIA 12 -MBA     | PLFC1E4K5MBA-00      | t      |            6 |            6 |          1.36 |         1.36 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    62 | BH-DIA 8           | BH-DIA 8           | FC1P4L1E1A01         | t      |            6 |            6 |          0.78 |         0.78 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    64 | HR241              | HR241              | HR241G6C1A01         | t      |            6 |            6 |             0 |            0 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    65 | INLET              | INLET              | HC442G6C1A           | t      |            4 |            4 |          1.44 |         1.44 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    66 | OUTLET             | OUTLET             | HC442G6C1B           | t      |            4 |            4 |          1.44 |         1.44 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
